id,tsneX,tsneY,pcaX,pcaY,somX,somY,umapX,umapY,aeX,aeY,start,active,color,kcolor2,kcolor3,kcolor4,kcolor5,kcolor6,kcolor7,kcolor8,kcolor20
2251,-34.84723281102401,-27.454784281159547,-49.08480305005486,47.52004052554429,27.58620689655173,41.37931034482759,-73.971923828125,42.49848175048828,-56.0,-65.6,2251000,1,black,green,green,yellow,red,blue,orange,yellow,black
2252,5.548948929046247,-64.75947729564307,-47.56689720345412,-4.073156994585943,46.896551724137936,-71.72413793103448,-53.56736755371094,21.67839813232422,-19.200000000000003,-35.2,2252000,1,black,green,green,red,yellow,orange,teal,green,red
2253,-30.292638277757746,-11.071863648056222,-50.33347431262894,8.625813026241815,19.310344827586206,2.7586206896551744,-58.706947326660156,44.120567321777344,-12.799999999999997,-54.4,2253000,1,black,green,green,red,yellow,orange,teal,red,brown
2254,-19.30753319148902,-4.49714355679815,-27.040649530261597,12.975251732511637,-13.793103448275858,-44.13793103448276,-43.25010681152344,63.09814453125,36.8,20.799999999999997,2254000,1,black,green,green,yellow,red,blue,purple,yellow,red
2255,-35.65981177886359,-33.848650186879915,-53.2809893081852,39.20086941168259,55.17241379310346,55.17241379310346,-77.11617279052734,16.48743438720703,-62.4,-46.4,2255000,1,black,green,green,yellow,red,red,orange,brown,green
2256,-54.2931667475564,-20.28360836709645,-72.49710472504532,4.891994226215985,80.0,-22.06896551724138,-60.277244567871094,33.285064697265625,68.80000000000001,-33.6,2256000,1,black,green,green,red,yellow,orange,teal,green,teal
2257,-48.63266861736609,-9.363808662157894,-69.6590916971657,39.56418939093264,11.034482758620683,22.06896551724138,-62.06065368652344,32.924537658691406,22.400000000000006,-80.0,2257000,1,black,green,green,red,yellow,orange,teal,green,blue
2258,-52.31702242280646,-46.003927483890365,-65.75048388530527,-26.030202236558637,30.34482758620689,-24.827586206896555,-55.09659194946289,17.99402618408203,-44.8,-40.0,2258000,1,black,green,yellow,red,green,orange,teal,green,orange
2259,-13.660797448226916,-59.95566442300003,-50.88890370290301,-6.925015289222287,66.20689655172413,-74.48275862068965,-56.55687713623047,-15.006912231445312,48.0,-67.2,2259000,1,black,green,yellow,blue,green,purple,blue,teal,red
2260,-60.30699047157361,-11.792636904681814,-55.64393610373281,-18.734121536301984,66.20689655172413,-55.172413793103445,-58.6411247253418,51.334075927734375,-76.8,-25.6,2260000,1,black,green,yellow,red,yellow,orange,teal,green,teal
