id,tsneX,tsneY,pcaX,pcaY,somX,somY,umapX,umapY,aeX,aeY,start,active,color,kcolor2,kcolor3,kcolor4,kcolor5,kcolor6,kcolor7,kcolor8,kcolor20,dbcolor
342,8.273289866664982,-33.72600485930591,1.9295929844751498,-31.027022892612514,38.26086956521739,-3.4782608695652186,-29.702922821044922,-26.927886962890625,20.799999999999997,48.0,342000,1,black,green,yellow,green,yellow,green,red,yellow,orange,black
343,17.585322341223815,-67.04310378009885,53.5748662007322,18.47629897366849,80.0,-24.347826086956523,-55.33799743652344,13.545501708984375,70.4,54.400000000000006,343000,1,black,green,green,blue,purple,blue,yellow,red,black,black
344,60.651584425970896,-47.19437690677058,27.033931257381113,-38.030386823455686,45.21739130434783,52.17391304347825,-60.426979064941406,-75.74259185791016,40.0,72.0,344000,1,black,green,green,green,yellow,green,teal,red,teal,black
345,4.678280518358903,-66.71672507414792,28.783736123407692,23.779372478531542,52.17391304347825,-45.21739130434783,-46.110687255859375,33.237998962402344,75.19999999999999,-8.0,345000,1,black,green,green,blue,purple,blue,yellow,red,black,black
346,73.10992068092929,-69.11051042186209,27.857604131995487,-70.87893269252501,59.13043478260869,3.4782608695652186,-47.087684631347656,-46.80193328857422,16.0,59.19999999999999,346000,1,black,green,green,green,yellow,green,teal,yellow,orange,black
347,58.05720691472024,-48.11316229129792,39.19662649708167,-40.250410118762275,66.08695652173913,-52.173913043478265,-60.68252944946289,-80.0,-73.6,-60.8,347000,1,black,green,green,green,yellow,green,teal,red,teal,black
348,9.24430367712796,-14.283474299211932,-13.698940031284394,-14.544231853138314,-10.434782608695656,-80.0,-10.703521728515625,-56.486610412597656,-52.8,68.80000000000001,348000,1,black,blue,yellow,red,green,purple,blue,orange,black,black
349,1.0899735236697552,-8.556683134594294,-4.929812782150819,-46.230242826547084,-10.434782608695656,-80.0,2.7026138305664062,-71.73197174072266,20.799999999999997,-12.799999999999997,349000,1,black,blue,yellow,green,green,purple,blue,orange,yellow,black
350,-68.45166080190343,29.161671344567935,-16.720490547927298,-19.74748995145427,-80.0,-66.08695652173913,64.1334228515625,-40.981590270996094,52.80000000000001,32.0,350000,1,black,blue,yellow,red,red,red,purple,brown,brown,black
351,-7.305311519704091,-32.70651408336221,-11.47053056962848,-22.177308768437832,17.391304347826093,-10.434782608695656,-29.35720443725586,-55.936279296875,-4.799999999999997,-28.799999999999997,351000,1,black,blue,yellow,red,green,purple,red,orange,yellow,black
352,7.327666800182499,59.280039276174364,-47.60672818241233,-10.945587974882528,-10.434782608695656,-24.347826086956523,18.26673126220703,35.77287292480469,-78.4,-49.6,352000,1,black,blue,blue,yellow,blue,yellow,orange,green,blue,black
353,75.77779108918477,-60.615258336671765,53.09242244292912,-42.82348236982885,59.13043478260869,3.4782608695652186,-55.4380989074707,-46.46868896484375,-11.200000000000003,-8.0,353000,1,black,green,green,green,yellow,green,teal,yellow,purple,black
354,-20.380138519597978,4.161083204988913,-27.878973808030032,-65.06836431939308,-31.304347826086953,17.391304347826093,21.76378631591797,-52.833518981933594,-3.200000000000003,27.200000000000003,354000,1,black,blue,yellow,red,green,purple,blue,orange,yellow,black
355,-36.2159403244751,33.61615148001256,-31.526674139830654,-25.688321460139655,-3.4782608695652186,-80.0,43.4088134765625,-46.97177505493164,-9.599999999999994,-44.8,355000,1,black,blue,yellow,red,red,orange,orange,brown,blue,black
356,-3.716227006225651,-9.458935030609837,-10.502992193322044,-42.578343742667826,-80.0,3.4782608695652186,2.2996444702148438,-72.3939208984375,8.0,32.0,356000,1,black,blue,yellow,red,green,purple,blue,orange,yellow,black
357,-44.5768753902226,29.411457471291172,-46.9305186834865,-4.571585651940254,-80.0,-17.391304347826086,55.716766357421875,-11.556282043457031,70.4,19.200000000000003,357000,1,black,blue,blue,yellow,red,orange,orange,brown,blue,black
358,44.32884459808338,50.79218475329779,-44.80317910676277,-55.04063265763969,-80.0,80.0,80.0,-43.923431396484375,0.0,68.80000000000001,358000,1,black,blue,yellow,red,red,red,purple,blue,red,black
359,40.75776036309685,37.301520754885914,-14.867972928110802,-14.543272294322591,10.434782608695656,80.0,74.03797912597656,-14.789382934570312,-52.8,70.4,359000,1,black,blue,yellow,red,red,red,purple,blue,red,black
360,8.119405178071432,-30.289872206052912,-2.8228481546544657,-50.469020880337574,24.347826086956516,17.391304347826093,-27.479785919189453,-23.257678985595703,62.400000000000006,56.0,360000,1,black,blue,yellow,green,yellow,purple,blue,orange,yellow,black
361,-60.881192286395425,12.59524164457521,-22.017509537811293,-8.544458000406138,10.434782608695656,-17.391304347826086,25.610885620117188,46.92584228515625,-11.200000000000003,-68.8,361000,1,black,blue,yellow,red,green,purple,blue,green,black,black
362,-70.37680217475521,41.64268142083772,-24.63454709622878,-35.81934258859643,-73.04347826086956,66.08695652173913,74.37078857421875,-28.814849853515625,28.799999999999997,-8.0,362000,1,black,blue,yellow,red,red,red,purple,blue,red,black
363,61.44632687293992,-62.51791280055174,13.615428259085391,-40.87824723298385,52.17391304347825,10.434782608695656,-58.08380126953125,-51.263999938964844,-75.2,52.80000000000001,363000,1,black,green,green,green,yellow,green,teal,yellow,teal,black
364,-2.653271723759815,-67.39232223936554,10.048740823231398,8.796510137415183,45.21739130434783,-24.347826086956523,-41.47867965698242,29.727249145507812,57.599999999999994,60.80000000000001,364000,1,black,green,green,blue,purple,blue,yellow,yellow,black,black
365,-33.61530183095333,-13.183871026594431,-20.13355637011483,-19.125320356108,-31.304347826086953,-80.0,17.833084106445312,4.238533020019531,-6.400000000000006,57.599999999999994,365000,1,black,blue,yellow,red,green,orange,orange,brown,blue,black
366,-31.628859201574677,-13.552880792884423,-27.852932611126995,-38.85024477214,-31.304347826086953,-80.0,10.853569030761719,1.8790664672851562,65.6,-43.2,366000,1,black,blue,yellow,red,green,orange,orange,orange,blue,black
367,-37.91912162645244,72.16140212413177,-55.64542471867216,10.17602335191404,-80.0,-24.347826086956523,38.3568115234375,76.75811767578125,52.80000000000001,-27.200000000000003,367000,1,black,blue,blue,yellow,blue,yellow,green,green,black,black
368,-69.07042189361611,43.84405522106404,-35.73575894513803,-26.22713601070928,-80.0,73.04347826086956,76.93490600585938,-23.047607421875,76.80000000000001,-38.4,368000,1,black,blue,yellow,red,red,red,purple,blue,red,black
369,-14.945503258823777,31.170312535148284,-47.84863648058477,-11.368880213883855,-24.347826086956523,45.21739130434783,40.27045440673828,-11.633079528808594,60.80000000000001,80.0,369000,1,black,blue,yellow,red,green,orange,orange,brown,blue,black
370,17.253117512178946,-43.787167632876226,0.4434225851394018,9.317318576633909,24.347826086956516,-10.434782608695656,-20.33468246459961,-11.042808532714844,17.599999999999994,59.19999999999999,370000,1,black,green,green,blue,purple,blue,red,yellow,yellow,black
371,-46.35285830864907,35.967527267939346,-34.22561013281661,-23.943869827494794,-80.0,3.4782608695652186,57.66697692871094,-41.564693450927734,-49.6,-65.6,371000,1,black,blue,yellow,red,red,red,purple,blue,blue,black
372,-58.827578879261644,31.15375762523702,-37.02467196294897,-33.869850954024635,-80.0,3.4782608695652186,60.827239990234375,-41.55928039550781,-60.8,-59.2,372000,1,black,blue,yellow,red,red,red,purple,blue,red,black
373,-42.5209292711315,77.63456771356965,-43.23921034095316,3.384916429541704,-80.0,73.04347826086956,33.72791290283203,78.23518371582031,-52.8,72.0,373000,1,black,blue,blue,yellow,blue,yellow,green,green,black,black
374,-49.480938519070975,66.88256808672506,-20.967441547970004,-15.158492868097909,10.434782608695656,38.26086956521739,26.78888702392578,63.18482971191406,28.799999999999997,-14.400000000000006,374000,1,black,blue,blue,yellow,blue,purple,blue,green,black,black
375,-33.47113852547355,46.40155228463814,-32.9075596081248,23.785594769956404,-10.434782608695656,52.17391304347825,62.31243896484375,20.54784393310547,56.0,78.4,375000,1,black,blue,blue,yellow,red,red,green,teal,brown,black
376,-30.399685586208044,37.557089465632245,-24.417539855803966,3.396101456978826,-3.4782608695652186,52.17391304347825,55.46710205078125,3.2196426391601562,0.0,32.0,376000,1,black,blue,yellow,red,red,orange,orange,brown,brown,black
377,23.554942946119766,-9.551845060884787,-9.669810006044116,5.077758943153981,24.347826086956516,-24.347826086956523,20.583885192871094,64.48136901855469,-33.6,76.80000000000001,377000,1,black,blue,blue,yellow,blue,yellow,green,green,black,black
378,-23.07050561070473,56.0692561168552,-33.73943987513487,61.085102715833784,17.391304347826093,-31.304347826086953,55.39024353027344,64.60440063476562,30.400000000000006,-36.8,378000,1,black,blue,blue,yellow,blue,yellow,green,teal,brown,black
